904.43, 38.9841, 15
96.6973, 4.64507, 163.744, 6.42566, 140.39, 4.19357, 142.858, 26.5029, 92.1508, 4.38771, 162.305, 5.64054, 138.427, 2.98859, 141.751, 26.7151, 539.162, 21.8836, 46, 0, 8, 1.7826e-05, 5564, 1.53324e+12, 1533241692832, 0, 124.923, 4.03809, 93.6976, 3.13e-06, 0, 0, 6.16612, 162.5, 3.864e-06, 0, 0, 3.11574, 117.5, 6.107e-06, 0, 0, 25.9125, 141.921, 6.107e-06, 
147.738, 41.9838, 316.735, 4.22546, 212.003, 9.38064, 163.188, 3.35423, 145.548, 41.706, 311.289, 5.19443, 209.078, 9.55882, 158.533, 40.9144, 832.056, 30.472, 31, 0, 3, 1.0466e-05, 2770, 1.53324e+12, 1533241827245, 0, 0, 38.903, 132.5, 3.094e-06, 0, 0, 4.36143, 77, 5.212e-06, 0, 0, 9.07362, 97, 5.212e-06, 0, 0, 20.6832, 160.266, 7.295e-06, 
236.601, 5.13727, 263.075, 36.3864, 185.006, 15.3547, 205.82, 22.256, 233.163, 6.09296, 255.331, 39.0323, 182.673, 15.4222, 205.344, 20.8545, 883.507, 40.5672, 20, 0, 10, 9.122e-06, 2275, 1.53324e+12, 1533241957725, 0, 55.1649, 5.50025, 130.5, 1754, 21.627, 59.6559, 16.6278, 169, 3172, 0, 0, 3.51754, 99.5, 4556, 0, 0, 2.36487, 132, 7357, 
68.982868, 31.754843, 242.192274, 35.479977, 101.095768, 0.000000, 90.757963, 4.915798, 69.302819, 31.991274, 243.314410, 36.179619, 98.664558, 0.046631, 90.210449, 2.550652, 502.260554, 37.075309, 23, 1, 12, 0.000011, 14384.000000, 1533244451898.000000, 1533244477611, 0.000000, 0.000000, 31.827826, 68.444665, 3825.000000, 0.000000, 0.000000, 24.519854, 132.000000, 5310.000000, 0.000000, 0.000000, 3.394085, 89.500000, 7396.000000, 0.000000, 0.000000, 0.421715, 100.000000, 8846.000000, 
45.809393, 11.256104, 119.247681, 9.162354, 145.127853, 12.505989, 302.835390, 20.012802, 45.137712, 12.752724, 120.440812, 8.436905, 147.291814, 33.111343, 305.264187, 19.789925, 615.577421, 27.468624, 33, 0, 7, 0.000013, 1952.000000, 1533245927667.000000, 1533245942165, 0.000000, 0.000000, 10.854126, 44.455358, 3161.000000, 0.000000, 0.000000, 8.695705, 119.469488, 4512.000000, 66.450291, 0.000000, 22.826584, 145.699480, 6661.000000, 0.000000, 0.000000, 19.905388, 303.500000, 8049.000000, 
218.614482, 31.117218, 327.667016, 11.703171, 245.146826, 9.246113, 76.118645, 3.521087, 225.507739, 29.913185, 322.553665, 12.279133, 240.898285, 10.407711, 77.573656, 2.584606, 867.040157, 28.793794, 52, 0, 8, 0.000020, 2765.000000, 1533245954447.000000, 1533245976925, 0.000000, 0.000000, 12.628754, 62.500000, 5976.000000, 0.000000, 0.000000, 11.416624, 40.000000, 8124.000000, 0.000000, 0.000000, 2.670270, 76.500000, 10890.000000, 0.000000, 4.364475, 0.436612, 241.000000, 13034.000000, 
114.623796, 17.245106, 13.844988, 26.388641, 113.557159, 23.765625, 68.367015, 0.334408, 116.093517, 17.939705, 13.195301, 25.140793, 114.937546, 23.095688, 68.421448, 0.124554, 311.520385, 34.866890, 62, 10, 10, 0.000027, 20210.000000, 1533246243383.000000, 1533246290853, 0.000000, 0.000000, 40.344458, 64.000000, 8799.000000, 0.000000, 0.000000, 24.554008, 114.500000, 9459.000000, 0.000000, 0.000000, 22.715477, 113.500000, 15000.000000, 20.423103, 127.819828, 0.125250, 68.032096, 16353.000000, 
479.198519, 8.703045, 343.137402, 0.715347, 336.840635, 1.732788, 102.353375, 22.632847, 477.164351, 7.413933, 341.990105, 0.196892, 332.134931, 1.114258, 99.184967, 21.668983, 1256.002143, 17.892014, 42, 10, 16, 0.000031, 20210.000000, 1533246425710.000000, 1533246476717, 0.000000, 0.000000, 41.181055, 109.500000, 16303.000000, 0.000000, 0.000000, 0.174947, 162.500000, 17026.000000, 0.000000, 32.696782, 23.083107, 91.000000, 19205.000000, 0.000000, 0.000000, 0.241762, 194.498954, 27692.000000, 
454.006971, 18.248669, 327.636271, 6.090115, 239.736544, 8.841820, 181.235012, 30.231861, 452.708499, 17.131912, 325.840771, 4.066887, 235.898294, 6.624664, 177.177147, 31.357090, 1197.119755, 32.706232, 35, 12, 13, 0.000024, 20210.000000, 1533246533945.000000, 1533246578220, 0.000000, 0.000000, 21.264439, 121.500000, 12729.000000, 0.000000, 0.000000, 5.016043, 174.000000, 13453.000000, 0.000000, 0.000000, 16.402317, 75.000000, 14773.000000, 0.000000, 0.000000, 4.816725, 111.943389, 19628.000000, 

